GBP/Gold,,,USD/Gold,,,USD/Silver ,,,USD/Platinum,
7/1/1982,178.79,,3/22/1968,40,,7/1/1982,5.8,,Date (GMT),
7/2/1982,180.65,,3/25/1968,40.25,,7/2/1982,5.94,,1/28/1985,270
7/6/1982,180.42,,3/26/1968,41.1,,7/6/1982,5.76,,1/29/1985,271.5
7/7/1982,179.3,,3/27/1968,40.35,,7/7/1982,5.57,,1/30/1985,272.5
7/8/1982,183.28,,3/28/1968,39.6,,7/8/1982,5.93,,1/31/1985,283
7/9/1982,190.49,,3/29/1968,39.45,,7/9/1982,6.24,,2/1/1985,277
7/12/1982,197.98,,4/1/1968,38.6,,7/12/1982,6.3,,2/4/1985,271
7/13/1982,204.64,,4/3/1968,38.45,,7/13/1982,6.45,,2/5/1985,271
7/14/1982,204.7,,4/4/1968,38.05,,7/14/1982,6.47,,2/6/1985,275.5
7/15/1982,203.43,,4/5/1968,38.65,,7/15/1982,6.49,,2/7/1985,276.5
7/16/1982,201.28,,4/8/1968,38.15,,7/16/1982,6.4,,2/8/1985,273.5
7/19/1982,200.29,,4/9/1968,38.6,,7/19/1982,6.51,,2/11/1985,271.5
7/20/1982,199.94,,4/10/1968,38.65,,7/20/1982,6.77,,2/12/1985,274.5
7/21/1982,208.71,,4/11/1968,39.1,,7/21/1982,7.21,,2/13/1985,274.5
7/22/1982,202,,4/18/1968,38.55,,7/22/1982,6.92,,2/14/1985,274.5
7/23/1982,205.6,,4/19/1968,38.6,,7/23/1982,7.21,,2/15/1985,274.5
7/26/1982,199.66,,4/22/1968,38.95,,7/26/1982,7.2,,2/19/1985,272.5
7/27/1982,199.98,,4/23/1968,39.4,,7/27/1982,7.31,,2/20/1985,273
7/28/1982,199.02,,4/24/1968,39.3,,7/28/1982,6.95,,2/21/1985,272
7/29/1982,197.07,,4/25/1968,39.35,,7/29/1982,6.45,,2/22/1985,272
7/30/1982,197.3,,4/26/1968,39.5,,7/30/1982,6.56,,2/25/1985,249
8/2/1982,200.34,,4/29/1968,39.65,,8/2/1982,6.93,,2/26/1985,252.5
8/3/1982,199.71,,4/30/1968,40.05,,8/3/1982,6.97,,2/27/1985,252.5
8/4/1982,200.37,,5/1/1968,40.15,,8/4/1982,6.88,,2/28/1985,251
8/5/1982,201.98,,5/2/1968,40.4,,8/5/1982,6.89,,3/1/1985,247.5
8/6/1982,201.11,,5/3/1968,39.9,,8/6/1982,6.89,,3/4/1985,247.5
8/9/1982,197.65,,5/6/1968,40.6,,8/9/1982,6.51,,3/5/1985,254
8/10/1982,199.23,,5/7/1968,40.25,,8/10/1982,6.38,,3/6/1985,254
8/11/1982,196.41,,5/8/1968,40.45,,8/11/1982,6.22,,3/7/1985,254
8/12/1982,197.11,,5/9/1968,40.55,,8/12/1982,6.29,,3/8/1985,254
8/13/1982,198.59,,5/10/1968,40.45,,8/13/1982,6.41,,3/11/1985,243
8/16/1982,200.7,,5/14/1968,40.75,,8/16/1982,6.53,,3/12/1985,243
8/17/1982,197.83,,5/15/1968,41.3,,8/17/1982,6.43,,3/13/1985,246.5
8/18/1982,207.48,,5/16/1968,42.2,,8/18/1982,7.03,,3/14/1985,245.5
8/19/1982,206.9,,5/17/1968,42.45,,8/19/1982,6.94,,3/15/1985,247.5
8/20/1982,221.94,,5/20/1968,43.25,,8/20/1982,7.68,,3/18/1985,252.5
8/23/1982,226.2,,5/22/1968,42.5,,8/23/1982,8,,3/19/1985,270.7
8/24/1982,230.66,,5/23/1968,42.35,,8/24/1982,8.31,,3/20/1985,279
8/25/1982,227.78,,5/24/1968,42.7,,8/25/1982,7.78,,3/21/1985,271.5
8/26/1982,236.93,,5/27/1968,42.35,,8/26/1982,8.18,,3/22/1985,272.5
8/27/1982,240.78,,5/29/1968,42.4,,8/27/1982,8.06,,3/25/1985,272.5
8/30/1982,235.41,,5/31/1968,42.8,,8/30/1982,7.72,,3/26/1985,275
8/31/1982,239.17,,6/4/1968,42,,8/31/1982,7.97,,3/27/1985,280
9/1/1982,235.51,,6/5/1968,42.05,,9/1/1982,7.64,,3/28/1985,280
9/2/1982,236.14,,6/6/1968,41.35,,9/2/1982,7.97,,3/29/1985,287.5
9/3/1982,262.93,,6/10/1968,41.4,,9/3/1982,8.78,,4/1/1985,268
9/7/1982,278.39,,6/11/1968,42.5,,9/7/1982,9.15,,4/2/1985,268.5
9/8/1982,266.12,,6/12/1968,42.25,,9/8/1982,8.82,,4/3/1985,268.5
9/9/1982,269.68,,6/13/1968,41.65,,9/9/1982,9.31,,4/4/1985,264
9/10/1982,264.53,,6/14/1968,41.25,,9/10/1982,8.99,,4/8/1985,274.5
9/13/1982,257.43,,6/17/1968,41.05,,9/13/1982,8.88,,4/9/1985,280
9/14/1982,266,,6/18/1968,41.3,,9/14/1982,9.19,,4/10/1985,286
9/15/1982,259.71,,6/19/1968,41.65,,9/15/1982,8.92,,4/11/1985,286
9/16/1982,262.66,,6/20/1968,41.3,,9/16/1982,9.12,,4/12/1985,286
9/17/1982,257.73,,6/21/1968,41.2,,9/17/1982,9.02,,4/15/1985,286
9/20/1982,248,,6/24/1968,41.05,,9/20/1982,8.65,,4/16/1985,293
9/21/1982,249.42,,6/25/1968,41,,9/21/1982,8.74,,4/17/1985,285
9/22/1982,257.74,,6/27/1968,41.05,,9/22/1982,9.14,,4/18/1985,284
9/23/1982,254.78,,7/1/1968,40.95,,9/23/1982,9,,4/19/1985,285
9/24/1982,252.27,,7/2/1968,41.05,,9/24/1982,8.89,,4/22/1985,286.7
9/27/1982,243.96,,7/3/1968,41.15,,9/27/1982,8.4,,4/23/1985,284
9/28/1982,242.83,,7/8/1968,41,,9/28/1982,8.4,,4/24/1985,281
9/29/1982,241.64,,7/9/1968,40,,9/29/1982,8.12,,4/25/1985,281
9/30/1982,234.29,,7/10/1968,40.2,,9/30/1982,8.11,,4/26/1985,281.5
10/1/1982,236.75,,7/11/1968,39.25,,10/1/1982,8.3,,4/29/1985,280.5
10/4/1982,230.2,,7/12/1968,39.35,,10/4/1982,7.96,,4/30/1985,280.5
10/5/1982,231.37,,7/15/1968,39.25,,10/5/1982,8.06,,5/1/1985,267.5
10/6/1982,238.7,,7/16/1968,38.65,,10/6/1982,8.25,,5/2/1985,268.5
10/7/1982,245.67,,7/17/1968,37.9,,10/7/1982,8.78,,5/3/1985,270
